Year,Rnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2007,1,26,Athletics,Y,1192500.0,James Simmons,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Riverside (Riverside, CA)",0
2007,1,27,Tigers,Y,3580000.0,Rick Porcello,RHP,18.8,355.0,150.0,125.0,4.4,1.32,0.0,HS,"Seton Hall Preparatory School (West Orange, NJ)",0
2007,1,30,Yankees,Y,3350000.0,Andrew Brackman,RHP,0.1,3.0,0.0,0.0,0.0,1.71,0.0,4Yr,"North Carolina State University (Raleigh, NC)",1
2007,1,31,Nationals,Y,1000000.0,Josh Smoker,LHP,-0.7,82.0,4.0,2.0,5.35,1.7,0.0,HS,"Calhoun HS (Calhoun, GA)",0
2007,1,36,Cardinals,Y,650000.0,Clayton Mortensen,RHP,-0.5,74.0,6.0,11.0,4.68,1.44,0.0,4Yr,"Gonzaga University (Spokane, WA)",0
2007,1,38,Blue Jays,Y,810000.0,Brett Cecil,LHP,6.7,443.0,44.0,47.0,4.29,1.36,12.0,4Yr,"University of Maryland (College Park, MD)",0
2007,1,39,Dodgers,Y,787500.0,James Adkins,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Tennessee (Knoxville, TN)",0
2007,1,42,Mets,Y,720000.0,Eddie Kunz,RHP,-0.2,4.0,0.0,0.0,13.5,2.25,0.0,4Yr,"Oregon State University (Corvallis, OR)",0
2007,1,44,Rangers,Y,1000000.0,Neil Ramirez,RHP,0.3,185.0,4.0,8.0,4.46,1.42,3.0,HS,"Kempsville HS (Virginia Beach, VA)",0
2007,1,47,Mets,Y,657000.0,Nathan Vineyard,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Woodland HS (Cartersville, GA)",0
2007,1,50,Diamondbacks,Y,620000.0,Wes Roemer,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"California State University, Fullerton (Fullerton, CA)",1
2007,1,53,Reds,Y,594000.0,Kyle Lotzkar,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,,0
2007,1,54,Rangers,Y,585000.0,Tommy Hunter,RHP,11.2,480.0,56.0,45.0,4.02,1.24,22.0,4Yr,"University of Alabama (Tuscaloosa, AL)",0
2007,1,55,Red Sox,Y,571500.0,Nick Hagadone,LHP,-0.2,143.0,3.0,2.0,4.72,1.37,1.0,4Yr,"University of Washington (Seattle, WA)",1
2007,1,56,Blue Jays,Y,462500.0,Trystan Magnuson,RHP,-0.2,9.0,0.0,0.0,6.14,1.36,0.0,4Yr,"University of Louisville (Louisville, KY)",0
2007,1,58,Angels,Y,553300.0,Jon Bachanov,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"University HS (Orlando, FL)",1
2007,1,60,Tigers,Y,540000.0,Brandon Hamilton,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Stanhope Elmore HS (Millbrook, AL)",0
2007,1,63,Padres,Y,515000.0,Cory Luebke,LHP,2.4,64.0,10.0,13.0,3.52,1.19,0.0,4Yr,"The Ohio State University (Columbus, OH)",0
2008,1,4,Orioles,Y,3200000.0,Brian Matusz,LHP,2.1,280.0,27.0,41.0,4.92,1.46,0.0,4Yr,"University of San Diego (San Diego, CA)",0
2008,1,9,Nationals,N,0.0,Aaron Crow,RHP,2.7,254.0,20.0,11.0,3.43,1.32,6.0,4Yr,"University of Missouri (Columbia, MO)",0
2008,1,15,Dodgers,Y,1730000.0,Ethan Martin,RHP,-0.6,17.0,2.0,5.0,5.93,1.64,0.0,HS,"Stephens County School (Toccoa, GA)",1
2008,1,19,Cubs,Y,1540000.0,Andrew Cashner,RHP,10.9,300.0,57.0,87.0,4.1,1.36,1.0,4Yr,"Texas Christian University (Fort Worth, TX)",1
2008,1,20,Mariners,Y,1750000.0,Josh Fields,RHP,1.8,288.0,17.0,12.0,3.71,1.17,13.0,4Yr,"University of Georgia (Athens, GA)",0
