Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
Josh Hart(minors),2013,37,37,1,Orioles,CF,0.0,FrRnd,Y,"$1,450,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Parkview HS (Lilburn, GA)"
Kyle Schwarber(minors),2014,4,4,1,Cubs,C,0.0,FrRnd,Y,"$3,125,000 ",10.4,742.0,2494.0,176.0,0.234,0.835,4Yr,"Indiana University Bloomington (Bloomington, IN)"
Nick Gordon(minors),2014,5,5,1,Twins,SS,0.0,FrRnd,Y,"$3,851,000 ",0.8,136.0,370.0,8.0,0.254,0.684,HS,"Olympia HS (Orlando, FL)"
Alex Jackson(minors),2014,6,6,1,Mariners,OF,0.0,FrRnd,Y,"$4,200,000 ",-0.9,66.0,163.0,3.0,0.141,0.47,HS,"Rancho Bernardo HS (San Diego, CA)"
Michael Conforto(minors),2014,10,10,1,Mets,OF,0.0,FrRnd,Y,"$2,970,800 ",15.7,757.0,2551.0,132.0,0.255,0.824,4Yr,"Oregon State University (Corvallis, OR)"
Max Pentecost(minors),2014,11,11,1,Blue Jays,C,0.0,FrRnd,Y,"$2,888,300 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Kennesaw State University (Kennesaw, GA)"
Trea Turner(minors),2014,13,13,1,Padres,SS,0.0,FrRnd,Y,"$2,900,000 ",27.6,768.0,3090.0,114.0,0.304,0.85,4Yr,"North Carolina State University (Raleigh, NC)"
Casey Gillaspie(minors),2014,20,20,1,Rays,1B,0.0,FrRnd,Y,"$2,035,500 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Wichita State University (Wichita, KS)"
Bradley Zimmer(minors),2014,21,21,1,Indians,OF,0.0,FrRnd,Y,"$1,900,000 ",2.8,320.0,823.0,21.0,0.216,0.642,4Yr,"University of San Francisco (San Francisco, CA)"
Derek Hill(minors),2014,23,23,1,Tigers,OF,0.0,FrRnd,Y,"$2,000,000 ",-0.2,95.0,233.0,4.0,0.24,0.63,HS,"Elk Grove HS (Elk Grove, CA)"
Cole Tucker(minors),2014,24,24,1,Pirates,SS,0.0,FrRnd,Y,"$1,800,000 ",-2.0,154.0,436.0,5.0,0.211,0.573,HS,"Mountain Pointe HS (Phoenix, AZ)"
Matt Chapman(minors),2014,25,25,1,Athletics,3B,0.0,FrRnd,Y,"$1,750,000 ",24.3,649.0,2355.0,122.0,0.24,0.793,4Yr,"California State University, Fullerton (Fullerton, CA)"
Michael Chavis(minors),2014,26,26,1,Red Sox,SS,0.0,FrRnd,Y,"$1,870,500 ",0.4,248.0,824.0,35.0,0.244,0.715,HS,"Sprayberry HS (Marietta, GA)"
Alex Blandino(minors),2014,29,29,1,Reds,SS,0.0,FrRnd,Y,"$1,788,000 ",-0.3,135.0,234.0,2.0,0.227,0.63,4Yr,"Stanford University (Palo Alto, CA)"
Braxton Davidson(minors),2014,32,32,1,Braves,OF,0.0,FrRnd,Y,"$1,705,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"T. C. Roberson HS (Asheville, NC)"
Forrest Wall(minors),2014,35,35,1,Rockies,2B,0.0,FrRnd,Y,"$2,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Orangewood Christian HS (Maitland, FL)"
Blake Anderson(minors),2014,36,36,1,Marlins,C,0.0,FrRnd,Y,"$1,170,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"West Lauderdale HS (Collinsville, MS)"
Derek Fisher(minors),2014,37,37,1,Astros,OF,0.0,FrRnd,Y,"$1,534,100 ",0.2,172.0,410.0,17.0,0.195,0.663,4Yr,"University of Virginia (Charlottesville, VA)"
Mike Papi(minors),2014,38,38,1,Indians,OF,0.0,FrRnd,Y,"$1,250,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Virginia (Charlottesville, VA)"
Connor Joe(minors),2014,39,39,1,Pirates,OF,0.0,FrRnd,Y,"$1,250,000 ",2.9,144.0,479.0,13.0,0.269,0.779,4Yr,"University of San Diego (San Diego, CA)"
Chase Vallot(minors),2014,40,40,1,Royals,C,0.0,FrRnd,Y,"$1,350,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"St. Thomas More HS (Lafayette, LA)"
